Date,Italy,Spain,UK
2/21/20,1,0,0
2/22/20,2,0,0
2/23/20,3,0,0
2/24/20,7,0,0
2/25/20,10,0,0
2/26/20,12,0,0
2/27/20,17,0,0
2/28/20,21,0,0
2/29/20,29,0,0
03/01/20,34,0,0
03/02/20,52,0,0
03/03/20,79,1,0
03/04/20,107,2,0
03/05/20,148,3,0
03/06/20,197,5,1
03/07/20,233,10,2
03/08/20,366,17,2
03/09/20,463,28,3
03/10/20,631,35,7
03/11/20,827,54,7
03/12/20,827,55,9
3/13/20,1266,133,10
3/14/20,1441,195,28
3/15/20,1809,289,43
3/16/20,2158,342,65
3/17/20,2503,533,81
3/18/20,2978,623,115
3/19/20,3405,830,158
3/20/20,4032,1043,194
3/21/20,4825,1375,250
3/22/20,5476,1772,285
3/23/20,6077,2311,359
3/24/20,6820,2808,508
3/25/20,7503,3647,694
3/26/20,8215,4365,877
3/27/20,9134,5138,1161
3/28/20,10023,5982,1455
3/29/20,10779,6803,1669
3/30/20,11591,7716,2043
3/31/20,12428,8464,2425
04/01/20,13155,9387,3095
04/02/20,13915,10348,3747
04/03/20,14681,11198,4461
04/04/20,15362,11947,5221
04/05/20,15887,12641,5865
04/06/20,16523,13341,6433
04/07/20,17127,14045,7471
04/08/20,17669,14792,8505
04/09/20,18279,15447,9608
04/10/20,18849,16081,10760
04/11/20,19468,16606,11599
04/12/20,19899,17209,12285
4/13/20,20465,17756,13029
4/14/20,21067,18056,14073
4/15/20,21645,18708,14915
4/16/20,22170,19315,15944
4/17/20,22745,20002,16879
4/18/20,23227,20043,17994
4/19/20,23660,20453,18492
4/20/20,24114,20852,19051
4/21/20,24648,21282,20223
4/22/20,25085,21717,21060
4/23/20,25549,22157,21787
4/24/20,25969,22524,22792
4/25/20,26384,22902,23635
4/26/20,26644,23190,24055
4/27/20,26977,23521,24393
4/28/20,27359,23822,25302
4/29/20,27682,24275,26097
4/30/20,27967,24543,26771
05/01/20,28236,24543,27510
05/02/20,28710,25100,28131
05/03/20,28884,25264,28446
05/04/20,29079,25428,28734
